Время, сек;Давление (избыточное), кПа;Температура,°С
702;4956,63;0,82
703;4956,63;0,82
704;4957,01;0,82
705;4957,01;0,82
706;4957,01;0,82
707;4957,01;0,82
708;4957,01;0,82
709;4957,01;0,82
710;4957,01;0,82
711;4957,39;0,82
712;4957,01;0,82
713;4957,01;0,82
714;4957,01;0,82
715;4957,01;0,82
716;4957,01;0,82
717;4957,01;0,81
718;4957,01;0,81
719;4957,01;0,81
720;4957,01;0,81
721;4956,63;0,81
722;4956,63;0,81
723;4956,63;0,81
724;4955,86;0,81
725;4955,48;0,81
726;4955,48;0,81
727;4955,1;0,81
728;4954,34;0,81
729;4953,96;0,81
730;4953,96;0,8
731;4953,19;0,8
732;4952,81;0,8
733;4952,81;0,8
734;4952,05;0,8
735;4951,67;0,8
736;4951,67;0,8
737;4951,67;0,8
738;4951,67;0,8
739;4951,67;0,8
740;4951,67;0,8
741;4951,67;0,8
742;4951,67;0,8
743;4951,67;0,8
744;4951,67;0,8
745;4951,67;0,8
746;4952,05;0,8
747;4952,05;0,8
748;4952,05;0,8
749;4952,05;0,8
750;4952,05;0,79
751;4952,05;0,79
752;4952,05;0,79
753;4952,05;0,79
754;4951,67;0,79
755;4952,05;0,79
756;4952,05;0,79
757;4952,05;0,79
758;4952,05;0,79
759;4952,05;0,79
760;4952,05;0,79
761;4951,28;0,79
762;4950,9;0,78
763;4950,52;0,78
764;4950,52;0,78
765;4949,76;0,78
766;4949,38;0,78
767;4949,38;0,78
768;4948,99;0,78
769;4948,23;0,78
770;4947,85;0,78
771;4947,47;0,78
772;4947,09;0,78
773;4947,09;0,78
774;4947,09;0,78
775;4947,09;0,78
776;4947,09;0,77
777;4947,09;0,77
778;4947,09;0,77
779;4947,09;0,77
780;4947,09;0,77
781;4947,09;0,77
782;4947,09;0,77
783;4947,09;0,77
784;4947,09;0,77
785;4947,09;0,77
786;4947,09;0,77
787;4947,09;0,77
788;4947,09;0,77
789;4947,09;0,76
790;4946,7;0,76
791;4946,32;0,76
792;4945,94;0,76
793;4945,56;0,76
794;4945,18;0,76
795;4944,8;0,76
796;4944,03;0,76
797;4943,65;0,76
798;4943,65;0,76
799;4942,89;0,76
800;4942,51;0,76
801;4942,12;0,76
802;4941,74;0,76
803;4941,74;0,76
804;4941,74;0,76
805;4941,74;0,76
806;4941,74;0,75
807;4941,74;0,75
808;4941,74;0,76
809;4941,74;0,76
810;4942,12;0,75
811;4942,12;0,75
812;4942,12;0,75
813;4942,12;0,75
814;4942,12;0,75
815;4941,74;0,75
816;4940,98;0,75
817;4940,98;0,75
818;4940,6;0,75
819;4940,22;0,75
820;4939,83;0,75
821;4939,45;0,75
822;4939,45;0,75
823;4938,69;0,74
824;4938,69;0,74
825;4938,31;0,74
826;4937,93;0,74
827;4937,93;0,74
828;4937,93;0,74
829;4937,93;0,74
830;4937,93;0,74
831;4937,93;0,74
832;4937,93;0,74
833;4937,93;0,74
834;4937,93;0,74
835;4937,93;0,74
836;4937,93;0,74
837;4937,93;0,74
838;4937,93;0,74
839;4937,54;0,74
840;4936,78;0,74
841;4936,4;0,74
842;4936,02;0,74
843;4936,02;0,74
844;4935,25;0,74
845;4934,87;0,74
846;4934,87;0,74
847;4934,11;0,74
848;4934,11;0,74
849;4933,73;0,74
850;4933,35;0,73
851;4932,96;0,73
852;4932,96;0,73
853;4932,96;0,73
854;4932,96;0,73
855;4932,96;0,73
856;4932,96;0,73
857;4933,35;0,74
858;4932,96;0,73
859;4932,96;0,73
860;4932,96;0,73
861;4932,96;0,73
862;4932,58;0,73
863;4932,58;0,73
864;4931,82;0,73
865;4931,44;0,73
866;4931,06;0,73
867;4930,67;0,73
868;4929,91;0,73
869;4929,53;0,73
870;4929,15;0,73
871;4928,77;0,73
872;4928,38;0,73
873;4928;0,73
874;4928;0,73
875;4927,62;0,73
876;4927,62;0,73
877;4927,62;0,72
878;4927,62;0,72
879;4927,62;0,72
880;4927,62;0,72
881;4927,24;0,72
882;4927,24;0,72
883;4926,86;0,72
884;4926,48;0,73
885;4926,09;0,72
886;4925,71;0,73
887;4925,33;0,73
888;4924,95;0,72
889;4924,95;0,72
890;4924,57;0,72
891;4924,19;0,72
892;4923,8;0,72
893;4923,42;0,72
894;4923,42;0,72
895;4923,42;0,72
896;4923,42;0,72
897;4923,42;0,72
898;4923,42;0,72
899;4923,42;0,72
900;4923,04;0,72
901;4922,66;0,72
902;4922,28;0,72
903;4921,9;0,72
904;4921,51;0,72
905;4921,13;0,71
906;4920,75;0,71
907;4920,75;0,71
908;4920,37;0,71
909;4919,99;0,71
910;4919,61;0,71
911;4919,22;0,71
912;4918,84;0,71
913;4918,84;0,71
914;4918,84;0,71
915;4918,84;0,71
916;4918,84;0,71
917;4918,84;0,72
918;4918,84;0,72
919;4918,08;0,71
920;4917,7;0,71
921;4917,32;0,71
922;4916,93;0,71
923;4916,55;0,71
924;4916,17;0,71
925;4915,79;0,71
926;4915,03;0,71
927;4914,64;0,71
928;4914,64;0,71
929;4913,88;0,71
930;4913,5;0,71
931;4913,5;0,71
932;4913,5;0,71
933;4913,5;0,71
934;4913,5;0,71
935;4913,5;0,71
936;4913,5;0,71
937;4913,5;0,71
938;4913,12;0,71
939;4912,35;0,71
940;4912,35;0,71
941;4911,97;0,71
942;4911,59;0,71
943;4911,21;0,71
944;4910,83;0,71
945;4910,45;0,71
946;4909,68;0,71
947;4909,68;0,71
948;4909,3;0,71
949;4908,92;0,71
950;4908,92;0,7
951;4908,92;0,7
952;4908,92;0,7
953;4908,54;0,7
954;4908,16;0,7
955;4907,77;0,71
956;4907,39;0,71
957;4907,01;0,71
958;4906,63;0,71
959;4906,25;0,71
960;4905,87;0,7
961;4905,48;0,71
962;4905,1;0,7
963;4904,72;0,7
964;4904,34;0,7
965;4903,96;0,7
966;4903,96;0,7
967;4903,96;0,7
968;4903,96;0,7
969;4903,96;0,7
970;4903,58;0,7
971;4903,19;0,7
972;4902,81;0,7
973;4902,81;0,7
974;4902,05;0,7
975;4901,67;0,7
976;4901,67;0,7
977;4900,9;0,7
978;4900,9;0,7
979;4900,52;0,7
980;4899,76;0,7
981;4899,76;0,7
982;4899,38;0,71
983;4899,38;0,71
984;4899,38;0,71
985;4899,38;0,71
986;4899,38;0,71
987;4898,61;0,71
988;4898,23;0,71
989;4897,85;0,71
990;4897,47;0,71
991;4897,09;0,71
992;4896,71;0,71
993;4896,32;0,71
994;4895,56;0,71
995;4895,56;0,71
996;4895,18;0,71
997;4894,8;0,71
998;4894,42;0,71
999;4894,42;0,71
1000;4894,8;0,71
1001;4894,8;0,71
1002;4894,42;0,71
1003;4894,42;0,71
1004;4893,65;0,71
1005;4893,27;0,71
1006;4893,27;0,71
1007;4892,89;0,71
1008;4892,13;0,71
1009;4891,74;0,71
1010;4891,36;0,71
1011;4890,6;0,7
1012;4890,22;0,7
1013;4889,84;0,7
1014;4889,84;0,7
1015;4889,45;0,7
1016;4889,45;0,71
1017;4889,45;0,7
1018;4888,69;0,7
1019;4888,31;0,7
1020;4887,93;0,7
1021;4887,55;0,7
1022;4887,16;0,7
1023;4886,78;0,7
1024;4886,4;0,7
1025;4885,64;0,7
1026;4885,26;0,7
1027;4885,26;0,7
1028;4884,49;0,7
1029;4884,11;0,7
1030;4884,11;0,7
1031;4884,11;0,7
1032;4884,11;0,7
1033;4883,73;0,71
1034;4883,35;0,71
1035;4882,97;0,71
1036;4882,58;0,71
1037;4882,2;0,71
1038;4881,82;0,71
1039;4881,44;0,71
1040;4881,06;0,71
1041;4880,68;0,71
1042;4880,29;0,71
1043;4879,91;0,71
1044;4879,53;0,71
1045;4879,15;0,71
1046;4879,15;0,71
1047;4878,77;0,71
1048;4878,39;0,71
1049;4878;0,71
1050;4877,62;0,71
1051;4877,24;0,71
1052;4876,48;0,71
1053;4876,1;0,71
1054;4876,1;0,71
1055;4875,71;0,71
1056;4874,95;0,71
1057;4874,95;0,71
1058;4874,57;0,71
1059;4874,19;0,71
1060;4874,19;0,71
1061;4874,19;0,71
1062;4874,19;0,71
1063;4873,81;0,71
1064;4873,81;0,71
1065;4873,42;0,71
1066;4873,42;0,71
1067;4873,04;0,71
1068;4873,04;0,71
1069;4872,28;0,71
1070;4872,28;0,71
1071;4871,9;0,71
1072;4871,9;0,71
1073;4871,52;0,71
1074;4871,52;0,71
1075;4871,13;0,71
1076;4870,37;0,71
1077;4869,99;0,71
1078;4869,61;0,71
1079;4869,61;0,71
1080;4868,84;0,71
1081;4868,46;0,71
1082;4868,08;0,71
1083;4867,7;0,71
1084;4867,32;0,71
1085;4866,94;0,71
1086;4866,55;0,71
1087;4866,55;0,71
1088;4866,55;0,71
1089;4866,17;0,71
1090;4865,79;0,71
1091;4865,41;0,71
1092;4865,03;0,71
1093;4864,65;0,71
1094;4864,26;0,71
1095;4863,88;0,71
1096;4863,88;0,71
1097;4863,12;0,71
1098;4863,12;0,71
1099;4862,74;0,71
1100;4862,36;0,71
1101;4862,36;0,71
1102;4862,36;0,71
1103;4861,97;0,71
1104;4861,59;0,71
1105;4861,21;0,71
1106;4860,83;0,71
1107;4860,45;0,71
1108;4860,07;0,71
1109;4860,07;0,71
1110;4859,3;0,71
1111;4858,92;0,71
1112;4858,54;0,72
1113;4858,16;0,72
1114;4857,78;0,72
1115;4857,78;0,72
1116;4857,39;0,72
1117;4857,01;0,72
1118;4856,63;0,72
1119;4856,25;0,72
1120;4856,25;0,72
1121;4855,49;0,72
1122;4855,1;0,72
1123;4855,1;0,72
1124;4854,72;0,72
1125;4854,34;0,72
1126;4853,96;0,72
1127;4853,58;0,72
1128;4853,58;0,72
1129;4853,58;0,72
1130;4853,2;0,72
1131;4852,81;0,72
1132;4852,43;0,72
1133;4852,05;0,72
1134;4851,67;0,72
1135;4851,29;0,72
1136;4850,91;0,72
1137;4850,52;0,72
1138;4849,76;0,72
1139;4849,38;0,73
1140;4849;0,73
1141;4848,62;0,73
1142;4848,23;0,73
1143;4847,85;0,73
1144;4847,47;0,73
1145;4846,71;0,73
1146;4846,33;0,73
1147;4845,94;0,73
1148;4845,56;0,73
1149;4845,18;0,73
1150;4845,18;0,73
1151;4844,42;0,73
1152;4844,42;0,73
1153;4844,04;0,73
1154;4844,04;0,73
1155;4843,65;0,73
1156;4843,65;0,73
1157;4843,27;0,73
1158;4842,89;0,73
1159;4842,51;0,73
1160;4842,13;0,73
1161;4841,75;0,73
1162;4841,36;0,73
1163;4840,98;0,73
1164;4840,6;0,73
1165;4839,84;0,73
1166;4839,46;0,73
1167;4839,07;0,73
1168;4838,69;0,73
1169;4838,69;0,73
1170;4838,31;0,73
1171;4837,93;0,73
1172;4837,55;0,73
1173;4837,17;0,73
1174;4836,78;0,73
1175;4836,4;0,73
1176;4836,02;0,73
1177;4835,64;0,74
1178;4835,26;0,74
1179;4834,88;0,73
1180;4834,49;0,74
1181;4834,11;0,74
1182;4833,73;0,74
1183;4833,73;0,73
1184;4833,73;0,73
1185;4833,35;0,74
1186;4832,97;0,74
1187;4832,59;0,74
1188;4832,2;0,74
1189;4831,82;0,75
1190;4831,44;0,75
1191;4831,06;0,75
1192;4830,68;0,75
1193;4830,3;0,75
1194;4829,91;0,75
1195;4829,91;0,75
1196;4829,53;0,75
1197;4829,15;0,75
1198;4829,15;0,75
1199;4828,39;0,75
1200;4828,01;0,75
1201;4827,62;0,75
1202;4827,24;0,75
1203;4826,86;0,75
1204;4826,48;0,75
1205;4826,1;0,75
1206;4825,72;0,75
1207;4825,33;0,75
1208;4824,95;0,75
1209;4824,57;0,75
1210;4824,57;0,75
1211;4824,19;0,75
1212;4823,81;0,75
1213;4823,43;0,75
1214;4823,04;0,75
1215;4822,66;0,75
1216;4821,9;0,75
1217;4821,9;0,75
1218;4821,52;0,75
1219;4821,14;0,75
1220;4820,37;0,75
1221;4819,99;0,76
1222;4819,61;0,75
1223;4819,61;0,76
1224;4819,61;0,76
1225;4819,23;0,76
1226;4818,85;0,76
1227;4818,46;0,76
1228;4818,08;0,76
1229;4817,7;0,76
1230;4817,32;0,76
1231;4816,94;0,76
1232;4816,56;0,76
1233;4816,17;0,76
1234;4816,17;0,76
1235;4815,79;0,77
1236;4815,41;0,76
1237;4815,41;0,76
1238;4815,03;0,76
1239;4815,03;0,76
1240;4814,27;0,76
1241;4813,88;0,77
